Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
c1,30.80240821838379,0.90447735786438,0.1112369000911712,5097944,267096
c3,30.858566284179688,0.904674470424652,0.1110711097717285,4706223,236174
