Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
c1,35.05646514892578,0.9801127910614014,0.0186917670071125,4697206,291928
c3,35.047603607177734,0.9801336526870728,0.0186838153749704,4253192,259497
