Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
c1,37.31166458129883,0.9844099283218384,0.0224036928266286,2220187,102541
c3,37.25260925292969,0.9843303561210632,0.0228176694363355,1996726,87469
