Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
c1,24.56310272216797,0.715995192527771,0.2889230847358703,48692611,3687746
c3,24.54475975036621,0.7157991528511047,0.2892146706581116,42004667,3161160
