Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
c1,31.71504211425781,0.9406606554985046,0.1908527463674545,13986959,1014503
c3,31.71177291870117,0.9406377673149108,0.1906935423612594,12709242,881088
